"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MAX"
"5500","2000","2000","2000","2.3000240325927734","2.3000240325927734","2.3000240325927734","2000","2000","2000","1.2430806159973145","1.2430806159973145","1.2430806159973145","2000","2000","2000","1.1924177408218384","1.1924177408218384","1.1924177408218384","88240","88240","88240","1.185863733291626","1.185863733291626","1.185863733291626","88114","88114","88114","1.2523555755615234","1.2523555755615234","1.2523555755615234","88114","88114","88114","1.1836591958999634","1.1836591958999634","1.1836591958999634"
"6000","2182","2182","2182","2.297996997833252","2.297996997833252","2.297996997833252","2182","2182","2182","1.2338035106658936","1.2338035106658936","1.2338035106658936","2182","2182","2182","1.1907110214233398","1.1907110214233398","1.1907110214233398","96262","96262","96262","1.1824495792388916","1.1824495792388916","1.1824495792388916","96122","96122","96122","1.2515676021575928","1.2515676021575928","1.2515676021575928","96122","96122","96122","1.1824475526809692","1.1824475526809692","1.1824475526809692"
"6500","2364","2364","2364","2.2965710163116455","2.2965710163116455","2.2965710163116455","2364","2364","2364","1.226819634437561","1.226819634437561","1.226819634437561","2364","2364","2364","1.189411997795105","1.189411997795105","1.189411997795105","104284","104284","104284","1.1794074773788452","1.1794074773788452","1.1794074773788452","104130","104130","104130","1.252803921699524","1.252803921699524","1.252803921699524","104130","104130","104130","1.1820012331008911","1.1820012331008911","1.1820012331008911"
"7000","2546","2546","2546","2.2949256896972656","2.2949256896972656","2.2949256896972656","2546","2546","2546","1.220712661743164","1.220712661743164","1.220712661743164","2546","2546","2546","1.1887987852096558","1.1887987852096558","1.1887987852096558","112306","112306","112306","1.176260232925415","1.176260232925415","1.176260232925415","112138","112138","112138","1.250329852104187","1.250329852104187","1.250329852104187","112138","112138","112138","1.1817419528961182","1.1817419528961182","1.1817419528961182"
"7500","2728","2728","2728","2.2931742668151855","2.2931742668151855","2.2931742668151855","2728","2728","2728","1.21764075756073","1.21764075756073","1.21764075756073","2728","2728","2728","1.1857322454452515","1.1857322454452515","1.1857322454452515","120328","120328","120328","1.1744130849838257","1.1744130849838257","1.1744130849838257","120160","120160","120160","1.2495559453964233","1.2495559453964233","1.2495559453964233","120160","120160","120160","1.1810119152069092","1.1810119152069092","1.1810119152069092"
"8000","2910","2910","2910","2.2920966148376465","2.2920966148376465","2.2920966148376465","2910","2910","2910","1.214289665222168","1.214289665222168","1.214289665222168","2910","2910","2910","1.1845334768295288","1.1845334768295288","1.1845334768295288","128350","128350","128350","1.1723252534866333","1.1723252534866333","1.1723252534866333","128168","128168","128168","1.2504786252975464","1.2504786252975464","1.2504786252975464","128168","128168","128168","1.1806973218917847","1.1806973218917847","1.1806973218917847"
"8500","3092","3092","3092","2.2896533012390137","2.2896533012390137","2.2896533012390137","3092","3092","3092","1.2107115983963013","1.2107115983963013","1.2107115983963013","3092","3092","3092","1.1841206550598145","1.1841206550598145","1.1841206550598145","136372","136372","136372","1.170553207397461","1.170553207397461","1.170553207397461","136176","136176","136176","1.2512589693069458","1.2512589693069458","1.2512589693069458","136176","136176","136176","1.1801153421401978","1.1801153421401978","1.1801153421401978"
"9000","3274","3274","3274","2.2867939472198486","2.2867939472198486","2.2867939472198486","3274","3274","3274","1.2085057497024536","1.2085057497024536","1.2085057497024536","3274","3274","3274","1.1831315755844116","1.1831315755844116","1.1831315755844116","144394","144394","144394","1.1690373420715332","1.1690373420715332","1.1690373420715332","144184","144184","144184","1.2504339218139648","1.2504339218139648","1.2504339218139648","144184","144184","144184","1.1795512437820435","1.1795512437820435","1.1795512437820435"
"9500","3456","3456","3456","1.7893301248550415","1.7893301248550415","1.7893301248550415","3456","3456","3456","1.2055531740188599","1.2055531740188599","1.2055531740188599","3456","3456","3456","1.1820403337478638","1.1820403337478638","1.1820403337478638","152416","152416","152416","1.1688721179962158","1.1688721179962158","1.1688721179962158","152192","152192","152192","1.2512304782867432","1.2512304782867432","1.2512304782867432","152192","152192","152192","1.1800047159194946","1.1800047159194946","1.1800047159194946"
"10000","3638","3638","3638","1.3251515626907349","1.3251515626907349","1.3251515626907349","3638","3638","3638","1.2050246000289917","1.2050246000289917","1.2050246000289917","3638","3638","3638","1.1815690994262695","1.1815690994262695","1.1815690994262695","160438","160438","160438","1.1688417196273804","1.1688417196273804","1.1688417196273804","160200","160200","160200","1.2518131732940674","1.2518131732940674","1.2518131732940674","160200","160200","160200","1.179438591003418","1.179438591003418","1.179438591003418"
