"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MAX"
"15500","5640","5640","5640","1.2340784072875977","1.2340784072875977","1.2340784072875977","5640","5640","5640","1.1975760459899902","1.1975760459899902","1.1975760459899902","5640","5640","5640","1.1790918111801147","1.1790918111801147","1.1790918111801147","","","","","","","248316","248316","248316","1.254385232925415","1.254385232925415","1.254385232925415","248316","248316","248316","1.1811622381210327","1.1811622381210327","1.1811622381210327"
"16000","5822","5822","5822","1.2332642078399658","1.2332642078399658","1.2332642078399658","5822","5822","5822","1.1972439289093018","1.1972439289093018","1.1972439289093018","5822","5822","5822","1.1781853437423706","1.1781853437423706","1.1781853437423706","","","","","","","256324","256324","256324","1.254314661026001","1.254314661026001","1.254314661026001","","","","","",""
"16500","6004","6004","6004","1.232160210609436","1.232160210609436","1.232160210609436","6004","6004","6004","1.1975337266921997","1.1975337266921997","1.1975337266921997","5998","5998","5998","1.1784992218017578","1.1784992218017578","1.1784992218017578","","","","","","","264332","264332","264332","1.2556955814361572","1.2556955814361572","1.2556955814361572","","","","","",""
"17000","6186","6186","6186","1.2314409017562866","1.2314409017562866","1.2314409017562866","6186","6186","6186","1.197543740272522","1.197543740272522","1.197543740272522","6180","6180","6180","1.178457498550415","1.178457498550415","1.178457498550415","","","","","","","272340","272340","272340","1.2563377618789673","1.2563377618789673","1.2563377618789673","","","","","",""
"17500","6368","6368","6368","1.2312638759613037","1.2312638759613037","1.2312638759613037","6368","6368","6368","1.197264552116394","1.197264552116394","1.197264552116394","6362","6362","6362","1.1793683767318726","1.1793683767318726","1.1793683767318726","","","","","","","280348","280348","280348","1.2563209533691406","1.2563209533691406","1.2563209533691406","","","","","",""
"18000","6550","6550","6550","1.2306066751480103","1.2306066751480103","1.2306066751480103","6550","6550","6550","1.197225570678711","1.197225570678711","1.197225570678711","6544","6544","6544","1.1777868270874023","1.1777868270874023","1.1777868270874023","","","","","","","288356","288356","288356","1.257143259048462","1.257143259048462","1.257143259048462","","","","","",""
"18500","6732","6732","6732","1.2302632331848145","1.2302632331848145","1.2302632331848145","6732","6732","6732","1.1968649625778198","1.1968649625778198","1.1968649625778198","6726","6726","6726","1.1780920028686523","1.1780920028686523","1.1780920028686523","","","","","","","296378","296378","296378","1.2566156387329102","1.2566156387329102","1.2566156387329102","","","","","",""
"19000","6914","6914","6914","1.2298779487609863","1.2298779487609863","1.2298779487609863","6914","6914","6914","1.1967778205871582","1.1967778205871582","1.1967778205871582","6908","6908","6908","1.1785122156143188","1.1785122156143188","1.1785122156143188","","","","","","","304386","304386","304386","1.2571723461151123","1.2571723461151123","1.2571723461151123","","","","","",""
"19500","7096","7096","7096","1.2297980785369873","1.2297980785369873","1.2297980785369873","7096","7096","7096","1.1968013048171997","1.1968013048171997","1.1968013048171997","7090","7090","7090","1.177929162979126","1.177929162979126","1.177929162979126","","","","","","","312394","312394","312394","1.2587037086486816","1.2587037086486816","1.2587037086486816","","","","","",""
"20000","7278","7278","7278","1.2296658754348755","1.2296658754348755","1.2296658754348755","7278","7278","7278","1.1966748237609863","1.1966748237609863","1.1966748237609863","7272","7272","7272","1.1788930892944336","1.1788930892944336","1.1788930892944336","","","","","","","320402","320402","320402","1.2585251331329346","1.2585251331329346","1.2585251331329346","","","","","",""
"20500","7460","7460","7460","1.229382038116455","1.229382038116455","1.229382038116455","7460","7460","7460","1.1964102983474731","1.1964102983474731","1.1964102983474731","7454","7454","7454","1.1791027784347534","1.1791027784347534","1.1791027784347534","","","","","","","328410","328410","328410","1.2610572576522827","1.2610572576522827","1.2610572576522827","","","","","",""
"21000","7642","7642","7642","1.229223608970642","1.229223608970642","1.229223608970642","7642","7642","7642","1.1965444087982178","1.1965444087982178","1.1965444087982178","7636","7636","7636","1.1787976026535034","1.1787976026535034","1.1787976026535034","","","","","","","336418","336418","336418","1.2625913619995117","1.2625913619995117","1.2625913619995117","","","","","",""
"21500","7824","7824","7824","1.2292559146881104","1.2292559146881104","1.2292559146881104","7824","7824","7824","1.1964106559753418","1.1964106559753418","1.1964106559753418","7818","7818","7818","1.1800286769866943","1.1800286769866943","1.1800286769866943","","","","","","","344426","344426","344426","1.264116644859314","1.264116644859314","1.264116644859314","","","","","",""
"22000","8006","8006","8006","1.2291127443313599","1.2291127443313599","1.2291127443313599","8006","8006","8006","1.1964209079742432","1.1964209079742432","1.1964209079742432","8000","8000","8000","1.1782357692718506","1.1782357692718506","1.1782357692718506","","","","","","","352448","352448","352448","1.2614350318908691","1.2614350318908691","1.2614350318908691","","","","","",""
"22500","8188","8188","8188","1.2290549278259277","1.2290549278259277","1.2290549278259277","8188","8188","8188","1.1962907314300537","1.1962907314300537","1.1962907314300537","8182","8182","8182","1.1795358657836914","1.1795358657836914","1.1795358657836914","","","","","","","360456","360456","360456","1.2620184421539307","1.2620184421539307","1.2620184421539307","","","","","",""
"23000","8370","8370","8370","1.2289748191833496","1.2289748191833496","1.2289748191833496","8370","8370","8370","1.1963422298431396","1.1963422298431396","1.1963422298431396","8364","8364","8364","1.1787422895431519","1.1787422895431519","1.1787422895431519","","","","","","","368464","368464","368464","1.262489914894104","1.262489914894104","1.262489914894104","","","","","",""
"23500","8552","8552","8552","1.2290459871292114","1.2290459871292114","1.2290459871292114","8552","8552","8552","1.1963073015213013","1.1963073015213013","1.1963073015213013","8546","8546","8546","1.1794205904006958","1.1794205904006958","1.1794205904006958","","","","","","","376472","376472","376472","1.2634072303771973","1.2634072303771973","1.2634072303771973","","","","","",""
"24000","8734","8734","8734","1.2289398908615112","1.2289398908615112","1.2289398908615112","8734","8734","8734","1.1962881088256836","1.1962881088256836","1.1962881088256836","8728","8728","8728","1.1801295280456543","1.1801295280456543","1.1801295280456543","","","","","","","384480","384480","384480","1.2656418085098267","1.2656418085098267","1.2656418085098267","","","","","",""
"24500","8916","8916","8916","1.2289936542510986","1.2289936542510986","1.2289936542510986","8916","8916","8916","1.196260929107666","1.196260929107666","1.196260929107666","8910","8910","8910","1.179685115814209","1.179685115814209","1.179685115814209","","","","","","","392488","392488","392488","1.2663034200668335","1.2663034200668335","1.2663034200668335","","","","","",""
"25000","9098","9098","9098","1.229011058807373","1.229011058807373","1.229011058807373","9098","9098","9098","1.1962800025939941","1.1962800025939941","1.1962800025939941","9092","9092","9092","1.1798158884048462","1.1798158884048462","1.1798158884048462","","","","","","","400496","400496","400496","1.2649071216583252","1.2649071216583252","1.2649071216583252","","","","","",""
"25100","9137","9137","9137","1.2289414405822754","1.2289414405822754","1.2289414405822754","9137","9137","9137","1.1962909698486328","1.1962909698486328","1.1962909698486328","","","","","","","","","","","","","","","","","","","","","","","",""
"25500","","","","","","","","","","","","","9274","9274","9274","1.1792141199111938","1.1792141199111938","1.1792141199111938","","","","","","","408518","408518","408518","1.2659426927566528","1.2659426927566528","1.2659426927566528","","","","","",""
"26000","","","","","","","","","","","","","9456","9456","9456","1.1791681051254272","1.1791681051254272","1.1791681051254272","","","","","","","416526","416526","416526","1.265628457069397","1.265628457069397","1.265628457069397","","","","","",""
"26500","","","","","","","","","","","","","9638","9638","9638","1.179194450378418","1.179194450378418","1.179194450378418","","","","","","","424534","424534","424534","1.2669477462768555","1.2669477462768555","1.2669477462768555","","","","","",""
"27000","","","","","","","","","","","","","9820","9820","9820","1.1810351610183716","1.1810351610183716","1.1810351610183716","","","","","","","432542","432542","432542","1.2681212425231934","1.2681212425231934","1.2681212425231934","","","","","",""
"27500","","","","","","","","","","","","","10002","10002","10002","1.178907871246338","1.178907871246338","1.178907871246338","","","","","","","440550","440550","440550","1.2677844762802124","1.2677844762802124","1.2677844762802124","","","","","",""
"28000","","","","","","","","","","","","","10184","10184","10184","1.1804617643356323","1.1804617643356323","1.1804617643356323","","","","","","","448558","448558","448558","1.271309733390808","1.271309733390808","1.271309733390808","","","","","",""
"28500","","","","","","","","","","","","","10366","10366","10366","1.1802772283554077","1.1802772283554077","1.1802772283554077","","","","","","","","","","","","","","","","","",""
"29000","","","","","","","","","","","","","10548","10548","10548","1.1800804138183594","1.1800804138183594","1.1800804138183594","","","","","","","","","","","","","","","","","",""
"29500","","","","","","","","","","","","","10730","10730","10730","1.1809637546539307","1.1809637546539307","1.1809637546539307","","","","","","","","","","","","","","","","","",""
"30000","","","","","","","","","","","","","10912","10912","10912","1.1796023845672607","1.1796023845672607","1.1796023845672607","","","","","","","","","","","","","","","","","",""
