"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MAX"
"5500","2001","2001","2001","0.17743002488264153","0.17743002488264153","0.17743002488264153","2001","2001","2001","0.8623681168925014","0.8623681168925014","0.8623681168925014","2001","2001","2001","0.9742726830690179","0.9742726830690179","0.9742726830690179","88241","88241","88241","0.9824478277457646","0.9824478277457646","0.9824478277457646","88115","88115","88115","0.94703753125905","0.94703753125905","0.94703753125905","88115","88115","88115","0.9477952970706264","0.9477952970706264","0.9477952970706264"
"6000","2183","2183","2183","0.1984616414873544","0.1984616414873544","0.1984616414873544","2183","2183","2183","0.7805640373247218","0.7805640373247218","0.7805640373247218","2183","2183","2183","0.9645836515403199","0.9645836515403199","0.9645836515403199","96263","96263","96263","0.9807229637862755","0.9807229637862755","0.9807229637862755","96123","96123","96123","0.9491711210922913","0.9491711210922913","0.9491711210922913","96123","96123","96123","0.9630670119442154","0.9630670119442154","0.9630670119442154"
"6500","2365","2365","2365","0.18744903114328113","0.18744903114328113","0.18744903114328113","2365","2365","2365","0.8704862419241188","0.8704862419241188","0.8704862419241188","2365","2365","2365","0.9415236154039942","0.9415236154039942","0.9415236154039942","104285","104285","104285","0.9827866903151611","0.9827866903151611","0.9827866903151611","104131","104131","104131","0.9710098531723877","0.9710098531723877","0.9710098531723877","104131","104131","104131","0.9514622919196045","0.9514622919196045","0.9514622919196045"
"7000","2547","2547","2547","0.18464471631523152","0.18464471631523152","0.18464471631523152","2547","2547","2547","0.9241498347929216","0.9241498347929216","0.9241498347929216","2547","2547","2547","0.9786473740571703","0.9786473740571703","0.9786473740571703","112307","112307","112307","0.9832890313685507","0.9832890313685507","0.9832890313685507","112139","112139","112139","0.9805415071900472","0.9805415071900472","0.9805415071900472","112139","112139","112139","0.9488440658568938","0.9488440658568938","0.9488440658568938"
"7500","2729","2729","2729","0.1664075512144318","0.1664075512144318","0.1664075512144318","2729","2729","2729","0.9037511427936978","0.9037511427936978","0.9037511427936978","2729","2729","2729","0.9788016441203281","0.9788016441203281","0.9788016441203281","120329","120329","120329","0.9843338366543607","0.9843338366543607","0.9843338366543607","120161","120161","120161","0.9819970247348214","0.9819970247348214","0.9819970247348214","120161","120161","120161","0.9563784210630342","0.9563784210630342","0.9563784210630342"
"8000","2911","2911","2911","0.17930745273331986","0.17930745273331986","0.17930745273331986","2911","2911","2911","0.9104288440246068","0.9104288440246068","0.9104288440246068","2911","2911","2911","0.9801886657293896","0.9801886657293896","0.9801886657293896","128351","128351","128351","0.984007530150864","0.984007530150864","0.984007530150864","128169","128169","128169","0.9801356874628455","0.9801356874628455","0.9801356874628455","128169","128169","128169","0.9661194471812593","0.9661194471812593","0.9661194471812593"
"8500","3093","3093","3093","0.1730838822217189","0.1730838822217189","0.1730838822217189","3093","3093","3093","0.9007319670315228","0.9007319670315228","0.9007319670315228","3093","3093","3093","0.9673706749661557","0.9673706749661557","0.9673706749661557","136373","136373","136373","0.9125846952900716","0.9125846952900716","0.9125846952900716","136177","136177","136177","0.9784862701346689","0.9784862701346689","0.9784862701346689","136177","136177","136177","0.9667222156928764","0.9667222156928764","0.9667222156928764"
"9000","3275","3275","3275","0.15603042333113729","0.15603042333113729","0.15603042333113729","3275","3275","3275","0.933488942187393","0.933488942187393","0.933488942187393","3275","3275","3275","0.9685558038955857","0.9685558038955857","0.9685558038955857","144395","144395","144395","0.9840259284986494","0.9840259284986494","0.9840259284986494","144185","144185","144185","0.9800604221773487","0.9800604221773487","0.9800604221773487","144185","144185","144185","0.963453008311115","0.963453008311115","0.963453008311115"
"9500","3457","3457","3457","0.18301154276179057","0.18301154276179057","0.18301154276179057","3457","3457","3457","0.902454824533278","0.902454824533278","0.902454824533278","3457","3457","3457","0.9681408532365205","0.9681408532365205","0.9681408532365205","152417","152417","152417","0.9832744351714006","0.9832744351714006","0.9832744351714006","152193","152193","152193","0.9883861835188007","0.9883861835188007","0.9883861835188007","152193","152193","152193","0.9661172754038795","0.9661172754038795","0.9661172754038795"
"10000","3639","3639","3639","0.753806895340941","0.753806895340941","0.753806895340941","3639","3639","3639","0.9355045318502426","0.9355045318502426","0.9355045318502426","3639","3639","3639","0.94378709753066","0.94378709753066","0.94378709753066","160439","160439","160439","0.9835474512588185","0.9835474512588185","0.9835474512588185","160201","160201","160201","0.9793466131428425","0.9793466131428425","0.9793466131428425","160201","160201","160201","0.9635140772972297","0.9635140772972297","0.9635140772972297"
