"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MAX"
"15500","5641","5641","5641","0.8951650553687802","0.8951650553687802","0.8951650553687802","5641","5641","5641","0.9092087170553802","0.9092087170553802","0.9092087170553802","5641","5641","5641","0.9685228102520795","0.9685228102520795","0.9685228102520795","","","","","","","248317","248317","248317","0.9796238267206935","0.9796238267206935","0.9796238267206935","248317","248317","248317","0.9637197659951562","0.9637197659951562","0.9637197659951562"
"16000","5823","5823","5823","0.9164921045268969","0.9164921045268969","0.9164921045268969","5823","5823","5823","0.9083034913002361","0.9083034913002361","0.9083034913002361","5823","5823","5823","0.9700026196091383","0.9700026196091383","0.9700026196091383","","","","","","","256325","256325","256325","0.9787418004768675","0.9787418004768675","0.9787418004768675","","","","","",""
"16500","6005","6005","6005","0.885774788967122","0.885774788967122","0.885774788967122","6005","6005","6005","0.9333849074853623","0.9333849074853623","0.9333849074853623","5999","5999","5999","0.9819740180429202","0.9819740180429202","0.9819740180429202","","","","","","","264333","264333","264333","0.9787550906024945","0.9787550906024945","0.9787550906024945","","","","","",""
"17000","6187","6187","6187","0.9199478420373268","0.9199478420373268","0.9199478420373268","6187","6187","6187","0.9389536314735238","0.9389536314735238","0.9389536314735238","6181","6181","6181","0.9715768688372561","0.9715768688372561","0.9715768688372561","","","","","","","272341","272341","272341","0.9857351474095365","0.9857351474095365","0.9857351474095365","","","","","",""
"17500","6369","6369","6369","0.9194715367749261","0.9194715367749261","0.9194715367749261","6369","6369","6369","0.921347797011055","0.921347797011055","0.921347797011055","6363","6363","6363","0.9702098288170425","0.9702098288170425","0.9702098288170425","","","","","","","280349","280349","280349","0.9444300557180118","0.9444300557180118","0.9444300557180118","","","","","",""
"18000","6551","6551","6551","0.9061157278964066","0.9061157278964066","0.9061157278964066","6551","6551","6551","0.9186225886425007","0.9186225886425007","0.9186225886425007","6545","6545","6545","0.95414167936212","0.95414167936212","0.95414167936212","","","","","","","288357","288357","288357","0.9868729001954101","0.9868729001954101","0.9868729001954101","","","","","",""
"18500","6733","6733","6733","0.8945105870634859","0.8945105870634859","0.8945105870634859","6733","6733","6733","0.9229002514970114","0.9229002514970114","0.9229002514970114","6727","6727","6727","0.9115143763473343","0.9115143763473343","0.9115143763473343","","","","","","","296379","296379","296379","0.9774049998936013","0.9774049998936013","0.9774049998936013","","","","","",""
"19000","6915","6915","6915","0.905089982434018","0.905089982434018","0.905089982434018","6915","6915","6915","0.9207581777767724","0.9207581777767724","0.9207581777767724","6909","6909","6909","0.9806977446193376","0.9806977446193376","0.9806977446193376","","","","","","","304387","304387","304387","0.9760255702051628","0.9760255702051628","0.9760255702051628","","","","","",""
"19500","7097","7097","7097","0.9083358806831873","0.9083358806831873","0.9083358806831873","7097","7097","7097","0.9260639118937055","0.9260639118937055","0.9260639118937055","7091","7091","7091","0.9718359761034128","0.9718359761034128","0.9718359761034128","","","","","","","312395","312395","312395","0.9783293388054884","0.9783293388054884","0.9783293388054884","","","","","",""
"20000","7279","7279","7279","0.8783472055379157","0.8783472055379157","0.8783472055379157","7279","7279","7279","0.8873942611142411","0.8873942611142411","0.8873942611142411","7273","7273","7273","0.9695912960661272","0.9695912960661272","0.9695912960661272","","","","","","","320403","320403","320403","0.9880535542664506","0.9880535542664506","0.9880535542664506","","","","","",""
"20500","7461","7461","7461","0.8807885230749133","0.8807885230749133","0.8807885230749133","7461","7461","7461","0.9417750529875552","0.9417750529875552","0.9417750529875552","7455","7455","7455","0.943009591942537","0.943009591942537","0.943009591942537","","","","","","","328411","328411","328411","0.9742292599669866","0.9742292599669866","0.9742292599669866","","","","","",""
"21000","7643","7643","7643","0.9072522214059063","0.9072522214059063","0.9072522214059063","7643","7643","7643","0.924561752389392","0.924561752389392","0.924561752389392","7637","7637","7637","0.98200493924633","0.98200493924633","0.98200493924633","","","","","","","336419","336419","336419","0.9871631444505068","0.9871631444505068","0.9871631444505068","","","","","",""
"21500","7825","7825","7825","0.9096780674803874","0.9096780674803874","0.9096780674803874","7825","7825","7825","0.921632015245183","0.921632015245183","0.921632015245183","7819","7819","7819","0.9664477568214492","0.9664477568214492","0.9664477568214492","","","","","","","344427","344427","344427","0.9864371891205452","0.9864371891205452","0.9864371891205452","","","","","",""
"22000","8007","8007","8007","0.8990335731579531","0.8990335731579531","0.8990335731579531","8007","8007","8007","0.9219888484184047","0.9219888484184047","0.9219888484184047","8001","8001","8001","0.971992919248707","0.971992919248707","0.971992919248707","","","","","","","352449","352449","352449","0.9872304367957423","0.9872304367957423","0.9872304367957423","","","","","",""
"22500","8189","8189","8189","0.9059953140280482","0.9059953140280482","0.9059953140280482","8189","8189","8189","0.9221691909543901","0.9221691909543901","0.9221691909543901","8183","8183","8183","0.9541776767424622","0.9541776767424622","0.9541776767424622","","","","","","","360457","360457","360457","0.9746171760373576","0.9746171760373576","0.9746171760373576","","","","","",""
"23000","8371","8371","8371","0.9052439101444687","0.9052439101444687","0.9052439101444687","8371","8371","8371","0.9232518690994439","0.9232518690994439","0.9232518690994439","8365","8365","8365","0.9340244722801796","0.9340244722801796","0.9340244722801796","","","","","","","368465","368465","368465","0.9853007879972759","0.9853007879972759","0.9853007879972759","","","","","",""
"23500","8553","8553","8553","0.9092383683333157","0.9092383683333157","0.9092383683333157","8553","8553","8553","0.9221070422986412","0.9221070422986412","0.9221070422986412","8547","8547","8547","0.9700914299371833","0.9700914299371833","0.9700914299371833","","","","","","","376473","376473","376473","0.9737285943009765","0.9737285943009765","0.9737285943009765","","","","","",""
"24000","8735","8735","8735","0.8906935977292261","0.8906935977292261","0.8906935977292261","8735","8735","8735","0.921779466461607","0.921779466461607","0.921779466461607","8729","8729","8729","0.9378840501582129","0.9378840501582129","0.9378840501582129","","","","","","","384481","384481","384481","0.9744841118898812","0.9744841118898812","0.9744841118898812","","","","","",""
"24500","8917","8917","8917","0.9057080153478179","0.9057080153478179","0.9057080153478179","8917","8917","8917","0.9218911134828112","0.9218911134828112","0.9218911134828112","8911","8911","8911","0.9585736235418665","0.9585736235418665","0.9585736235418665","","","","","","","392489","392489","392489","0.984642649112397","0.984642649112397","0.984642649112397","","","","","",""
"25000","9099","9099","9099","0.8900678810948474","0.8900678810948474","0.8900678810948474","9099","9099","9099","0.9235459486178769","0.9235459486178769","0.9235459486178769","9093","9093","9093","0.947578331727914","0.947578331727914","0.947578331727914","","","","","","","400497","400497","400497","0.9755891119525474","0.9755891119525474","0.9755891119525474","","","","","",""
"25100","9138","9138","9138","0.907878335064112","0.907878335064112","0.907878335064112","9138","9138","9138","0.9226863392490481","0.9226863392490481","0.9226863392490481","","","","","","","","","","","","","","","","","","","","","","","",""
"25500","","","","","","","","","","","","","9275","9275","9275","0.9666801286111548","0.9666801286111548","0.9666801286111548","","","","","","","408519","408519","408519","0.980270115522878","0.980270115522878","0.980270115522878","","","","","",""
"26000","","","","","","","","","","","","","9457","9457","9457","0.9550662822964385","0.9550662822964385","0.9550662822964385","","","","","","","416527","416527","416527","0.9853666165872859","0.9853666165872859","0.9853666165872859","","","","","",""
"26500","","","","","","","","","","","","","9639","9639","9639","0.9663958307218257","0.9663958307218257","0.9663958307218257","","","","","","","424535","424535","424535","0.9847247946496586","0.9847247946496586","0.9847247946496586","","","","","",""
"27000","","","","","","","","","","","","","9821","9821","9821","0.950528244752228","0.950528244752228","0.950528244752228","","","","","","","432543","432543","432543","0.9862888517841547","0.9862888517841547","0.9862888517841547","","","","","",""
"27500","","","","","","","","","","","","","10003","10003","10003","0.9386877796592294","0.9386877796592294","0.9386877796592294","","","","","","","440551","440551","440551","0.9829580570833093","0.9829580570833093","0.9829580570833093","","","","","",""
"28000","","","","","","","","","","","","","10185","10185","10185","0.9657604702431133","0.9657604702431133","0.9657604702431133","","","","","","","448559","448559","448559","0.9837821625499631","0.9837821625499631","0.9837821625499631","","","","","",""
"28500","","","","","","","","","","","","","10367","10367","10367","0.9822342271624753","0.9822342271624753","0.9822342271624753","","","","","","","","","","","","","","","","","",""
"29000","","","","","","","","","","","","","10549","10549","10549","0.9386754993677723","0.9386754993677723","0.9386754993677723","","","","","","","","","","","","","","","","","",""
"29500","","","","","","","","","","","","","10731","10731","10731","0.9180815234568694","0.9180815234568694","0.9180815234568694","","","","","","","","","","","","","","","","","",""
"30000","","","","","","","","","","","","","10913","10913","10913","0.9641953639755396","0.9641953639755396","0.9641953639755396","","","","","","","","","","","","","","","","","",""
